source_report,game_type,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
nhl_skater_summary,2,45,16,42,0.35483,6,82,26,Ehlers,1,14,8477940,8,71,0.86585,L,10,29,20252026,0,0,0.1256,L,207,Nikolaj Ehlers,CAR,995.7439
nhl_skater_summary,2,30,15,41,0.40816,1,80,18,Hall,0,44,8475791,6,48,0.6,L,3,7,20252026,0,0,0.13138,L,137,Taylor Hall,CAR,871.775
nhl_skater_summary,2,9,6,15,,1,55,6,Hutton,0,19,8477018,2,15,0.27272,D,0,0,20252026,0,0,0.0845,L,71,Ben Hutton,VGK,875.1818
nhl_skater_summary,2,11,6,16,0.38709,0,82,6,Kolesar,0,55,8478434,-14,17,0.20731,R,0,0,20252026,0,1,0.08955,R,67,Keegan Kolesar,VGK,692.2317
nhl_skater_summary,2,10,14,24,0.32075,3,69,16,Smith,1,4,8475191,-9,26,0.37681,R,1,1,20252026,1,1,0.16842,L,95,Reilly Smith,VGK,821.0
nhl_skater_summary,2,3,2,5,0.57594,1,14,4,Karlsson,0,4,8476448,-1,7,0.5,C,1,1,20252026,1,1,0.13333,L,30,William Karlsson,VGK,908.7857
nhl_skater_summary,2,29,8,34,,3,70,10,Theodore,0,24,8477447,19,39,0.55714,D,2,5,20252026,0,0,0.07692,L,130,Shea Theodore,VGK,1370.1857
nhl_skater_summary,2,10,12,19,0.5029,1,58,12,Howden,0,41,8479353,-9,22,0.37931,C,0,3,20252026,0,0,0.18181,L,66,Brett Howden,VGK,893.6034
nhl_skater_summary,2,6,3,9,0.21428,0,28,3,Holtz,0,10,8482125,-1,9,0.32142,R,0,0,20252026,0,0,0.1,R,30,Alexander Holtz,VGK,688.8571
nhl_skater_summary,2,39,19,41,0.45454,3,79,31,Svechnikov,0,66,8480830,1,70,0.88607,R,12,29,20252026,0,0,0.1527,L,203,Andrei Svechnikov,CAR,1019.1012
nhl_skater_summary,2,16,4,20,0.49173,0,75,5,Dowd,0,73,8475343,-4,21,0.28,C,0,0,20252026,1,1,0.07575,R,66,Nic Dowd,"WSH,VGK",872.52
nhl_skater_summary,2,7,5,12,,1,63,5,McNabb,0,26,8475188,2,12,0.19047,D,0,0,20252026,0,0,0.06172,L,81,Brayden McNabb,VGK,1231.3968
nhl_skater_summary,2,0,0,0,0.46428,0,3,0,Uchacz,0,5,8485251,-1,0,0.0,C,0,0,20252026,0,0,0.0,R,2,Kai Uchacz,VGK,731.0
nhl_skater_summary,2,0,2,2,0.0,0,12,3,Nadeau,0,2,8484203,1,3,0.25,L,1,1,20252026,0,0,0.25,R,12,Bradly Nadeau,CAR,777.6666
nhl_skater_summary,2,53,18,47,0.50465,4,79,27,Aho,2,46,8478427,11,80,1.01265,C,7,27,20252026,2,6,0.13846,L,195,Sebastian Aho,CAR,1176.7468
