entity,season_type,playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
goalies,regular,8475883,2025,Frederik Andersen,CAR,G,other,35,3220.0,5.7,7.0,60.0,2.82,3.0,7.59,6.0,37.69,33.0,1.54,0.0,19.03,16.0,12.52,17.0,5.33,28.0,13.0,8.0,1.21,1.61,2.88,1.0,1.0,5.0,11.0,0.0,0.0
goalies,regular,8475883,2025,Frederik Andersen,CAR,G,all,35,126112.0,103.69,107.0,1734.0,69.54,123.0,230.37,156.0,973.5,849.0,43.04,0.0,498.81,440.0,366.68,476.0,98.22,887.0,302.0,113.0,28.45,37.54,37.7,36.0,43.0,28.0,432.0,4.0,2.0
goalies,regular,8475883,2025,Frederik Andersen,CAR,G,5on5,35,103210.0,74.34,78.0,1380.0,51.77,91.0,186.61,130.0,761.1,660.0,34.55,0.0,391.03,351.0,292.54,372.0,70.92,707.0,239.0,76.0,22.67,29.86,21.82,33.0,35.0,10.0,358.0,2.0,1.0
goalies,regular,8475883,2025,Frederik Andersen,CAR,G,4on5,35,10482.0,19.89,19.0,249.0,13.31,26.0,31.24,19.0,143.84,124.0,1.36,0.0,78.17,70.0,42.61,56.0,18.41,127.0,39.0,24.0,3.79,4.58,11.53,1.0,6.0,12.0,59.0,2.0,1.0
goalies,regular,8475883,2025,Frederik Andersen,CAR,G,5on4,35,9200.0,3.19,2.0,36.0,1.38,3.0,4.22,0.0,26.41,29.0,5.44,0.0,8.48,2.0,16.8,28.0,2.99,21.0,10.0,4.0,0.55,1.39,1.24,0.0,1.0,1.0,1.0,0.0,0.0
goalies,regular,8481611,2025,Pyotr Kochetkov,CAR,G,other,9,545.0,0.88,0.0,17.0,0.63,2.0,2.63,3.0,8.8,4.0,0.16,0.0,4.87,4.0,2.6,3.0,0.73,7.0,4.0,1.0,0.14,0.49,0.24,0.0,0.0,0.0,5.0,0.0,0.0
goalies,regular,8481611,2025,Pyotr Kochetkov,CAR,G,all,9,29409.0,18.97,19.0,368.0,13.69,25.0,48.58,43.0,202.59,189.0,9.98,2.0,109.16,85.0,80.64,106.0,18.14,204.0,55.0,19.0,5.89,6.71,6.37,3.0,10.0,6.0,90.0,0.0,0.0
goalies,regular,8481611,2025,Pyotr Kochetkov,CAR,G,5on5,9,24727.0,12.81,15.0,288.0,10.39,19.0,38.95,36.0,158.62,146.0,8.31,2.0,86.33,64.0,64.2,84.0,12.42,171.0,35.0,12.0,4.88,4.34,3.59,3.0,8.0,4.0,70.0,0.0,0.0
goalies,regular,8481611,2025,Pyotr Kochetkov,CAR,G,4on5,9,1936.0,4.05,3.0,47.0,2.1,4.0,4.92,4.0,24.1,27.0,0.19,0.0,14.0,15.0,7.08,7.0,3.77,17.0,11.0,5.0,0.53,1.28,2.24,0.0,1.0,2.0,14.0,0.0,0.0
goalies,regular,8481611,2025,Pyotr Kochetkov,CAR,G,5on4,9,2201.0,1.04,1.0,12.0,0.46,0.0,1.61,0.0,8.74,11.0,1.16,0.0,3.02,1.0,5.55,10.0,1.03,7.0,4.0,1.0,0.26,0.48,0.29,0.0,1.0,0.0,0.0,0.0,0.0
goalies,regular,8482761,2025,Carl Lindbom,VGK,G,other,8,715.0,0.84,2.0,20.0,0.97,0.0,2.34,4.0,12.35,10.0,0.14,0.0,6.77,4.0,4.7,6.0,0.83,12.0,4.0,0.0,0.4,0.43,0.0,0.0,2.0,0.0,4.0,0.0,0.0
goalies,regular,8482761,2025,Carl Lindbom,VGK,G,all,8,28840.0,19.84,24.0,430.0,15.72,21.0,54.69,41.0,225.19,189.0,7.63,0.0,121.22,110.0,85.78,109.0,19.25,236.0,51.0,18.0,7.57,6.09,6.17,9.0,7.0,8.0,125.0,0.0,0.0
goalies,regular,8482761,2025,Carl Lindbom,VGK,G,5on5,8,23134.0,13.29,18.0,322.0,10.79,17.0,41.74,27.0,165.59,138.0,6.0,0.0,88.35,83.0,65.06,80.0,12.89,177.0,36.0,12.0,5.59,4.25,3.44,9.0,5.0,4.0,97.0,0.0,0.0
goalies,regular,8482761,2025,Carl Lindbom,VGK,G,4on5,8,2504.0,5.19,4.0,80.0,3.67,4.0,9.79,10.0,42.07,37.0,0.09,0.0,24.59,23.0,12.29,16.0,5.02,42.0,9.0,6.0,1.42,1.05,2.73,0.0,0.0,4.0,23.0,0.0,0.0
goalies,regular,8482761,2025,Carl Lindbom,VGK,G,5on4,8,2487.0,0.52,0.0,8.0,0.29,0.0,0.82,0.0,5.18,4.0,1.4,0.0,1.5,0.0,3.72,7.0,0.51,5.0,2.0,0.0,0.16,0.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0
goalies,regular,8483548,2025,Brandon Bussi,CAR,G,other,39,5195.0,9.29,9.0,126.0,5.43,8.0,14.42,7.0,67.85,60.0,1.99,0.0,39.66,46.0,19.74,21.0,8.74,52.0,26.0,13.0,2.08,3.15,4.06,2.0,5.0,2.0,35.0,0.0,0.0
